City,State,Shape,Duration.in.seconds,Description,Date,Longitude,Latitute,Duration
Mesa,AZ,Sphere,30,A Small Dark Purple Quad-Thruster Craft Hovering 200-300 Feet In The Sky. 500 Lights On Object0: Yes,2/14/2008,33.4222222,-111.8219444,30
Bonaire,GA,Triangle,300,Triangular Object Sighted At Very Close Range,2/1/2007,32.5436111,-83.5961111,300
Austin,MN,Other,3600,I Was Traveling Northbound On State Highway 105 Approximately 8 Miles South Of Austin Mn When An Object Came Down Directly Above My Car,1/28/1999,43.6666667,-92.9744444,3600
Hollywood,CA,Changing,300,I Was Standing Outside On Sunset Blvd. At Vine And Looked Straight Up Which I Normally Do Not Do. I Saw Three Bright White Lights In A,11/1/1998,34.0983333,-118.3258333,300
Phoenix (North Part),AZ,Fireball,15,Bright Green Moving North To North East. It Was Bright Green And Kinda Clear. Quite Fast Too.,2/16/1999,33.4483333,-112.0733333,15
Elgin,IL,Cylinder,1800,While Looking Up At Sky I Noticed A Bright Light Hovering Above The Sky. Then I Noticed A Jet Airliner Traveling In The Same Area And I,11/1/1998,42.0372222,-88.2811111,1800
Las Vegas,NV,Cigar,600,White Vertical Cigar Shape Floating Around In The Eastern Sky.,11/1/1998,36.175,-115.1363889,600
Las Vegas,NV,Circle,2700,Ufo Sighting In Las Vegas Near Area51,8/30/1999,36.175,-115.1363889,2700
Spokane (About 30 Miles Sw Ofi-90 Maybe Mm 254),WA,Triangle,600,Dark Boomerange Object Seen For Ten Minutes Hovering Over The Freeway With A Bright Light Out The Front That Lit Up The Fields. No Jet,8/5/2001,47.6588889,-117.425,600
Mooresville,NC,Light,2,Star Gazing In Back Yard With Telescope And Binos. Saw Shooting Star And An Oblong Shape Of Light.,11/1/1998,35.5847222,-80.8102778,2
Delano,TN,Fireball,15,I Came Home From Work One Night And I Seen A Bright Fire Like Ball Go Across The Top Ofthe Mountain And It Was Going Fast Then It Stopp,3/21/2003,35.265,-84.5533333,15
Martinez,CA,Changing,3600,Bright Objects Red And Green Flashing Lights (And A Diffuse White Light Off To One Side Of The Larger Of The Two Objects) About 30 De,10/19/1999,38.0194444,-122.1330556,3600
Kansas City,KS,Unknown,600,Orange Object Over City.,10/19/1999,39.1141667,-94.6272222,600
Dallas,TX,Other,10,Group Of   Twinkling Lights At High Altitude,11/20/2001,32.7833333,-96.8,10
San Diego,CA,Fireball,3600,At 10:45 In The Morning My Father And I Noticed A Small Stationary Object In The Sky.,10/19/1999,32.7152778,-117.1563889,3600
Kennewick,WA,Sphere,45,Standing Outside Saying Goodby To Family Members And Pointing To Chem-Trails,10/19/1999,46.2113889,-119.1361111,45
Hayward,CA,Circle,90,Many Different Colored Glowing  Objects,11/20/2001,37.6688889,-122.0797222,90
Rachel,NV,Light,10800,Bright Lights With Incredible Agility Seen From Mailbox At Area 51 On Ufo Highway In Nevada For Several Hourse.,5/24/2005,37.6447222,-115.7427778,10800
Humphrey,NE,Sphere,300,Object Moving Erratically In Sky Stopped By Spot Light,2/14/2006,41.6916667,-97.4841667,300
Elgin,OR,Chevron,240,Object Silently Traveled North -Northwest. It Was V Shaped With Five Orange Lights On The Perimeter And One White Ligh In The Center Of,10/19/1999,45.565,-117.9163889,240
Lewiston,MI,Oval,2700,Oval Shaped With Lights All Around It In A Haze With Several Smaller Lights Flying All Around It.,10/19/1999,44.8838889,-84.3055556,2700
Perryville,MO,Oval,180,The Craft Was Big Orange And Oval Shaped.,12/2/2000,37.7241667,-89.8611111,180
Boynton Beach,FL,Other,10,Unusual Light Formation Moving Extremely Fast Across The Sky.,12/2/2000,26.525,-80.0666667,10
Brinktown,MO,Light,1800,3 Bright Golden Lights Moving Independently Above The Tree Line Flaring And Fading Intermittently For Approx. 15 Min.,12/2/2000,38.1266667,-92.0844444,1800
Florence,KY,Light,5,Two Objects Traveling Side By Side Pass Over As One Begins To Zig Zag Its Path.,12/2/2000,38.9988889,-84.6266667,5
Seattle (West),WA,Unknown,10,Dark Object In The Shape Of A (4) After Dusk In West Seattle,2/11/2003,47.6063889,-122.3308333,10
Port Orchard,WA,Diamond,60,One Night My Window Started To Flash,5/12/2009,47.5405556,-122.635,60
Rockwell City,IA,Triangle,240,Largesilentslowlow To The Ground Dull-Black Triangle Ufo With Round Red Lights At Its Corners That Were Off .I Drew It.,7/1/2002,42.3952778,-94.6336111,240
Hayward,CA,Circle,120,Falling Star  Stops  Shots Out  Dozens Of Red Points Of Light,11/20/2001,37.6688889,-122.0797222,120
Ottumwa,IA,Rectangle,300,We Saw A Square Object At Night  Which Had 2 Blue  2 Red Lights At Corners Hovering In Sky Above Us.,11/20/2001,41.0041667,-92.3736111,300
Fresno,CA,Changing,900,Objects Were Sighted Driving North On Highway 5 In Californias Central Valley After Night Fall Not Far Past Kettleman/Fresno Exit S,11/20/2001,36.7477778,-119.7713889,900
Phoenix,AZ,Triangle,60,Triangle Shaped Craft Spotted Flying West To East Over Mid Town Phoenix On 10/10/01 At 22:00 Hours 4 Light Dim Making No Sounellow,11/20/2001,33.4483333,-112.0733333,60
Virginia Beach,VA,Triangle,30,Shaped Like A Stealth Bomber (Boomerang Like But More Triangluar) Flat-Black In Color Made A Deep Humming Sound Either Really Low To,7/26/2002,36.8527778,-75.9783333,30
Hayward,WI,Flash,43,We Saw Pure A Light That Occasionaly Split Into 3 To 4 Different Lights.,10/15/2002,46.0130556,-91.4844444,43
Philomath,OR,Unknown,5,I Watched On The Portland News That The Space Shuttle Would Be Visiable And Went To Philomath Oregon To What Was Known To Be The Apple,10/15/2002,44.5402778,-123.3663889,5
Seattle,WA,Sphere,90,Light Falls From Sky,10/15/2002,47.6063889,-122.3308333,90
Cincinnati,OH,Other,1800,Large Octagon Blue Lights On Rim Red Center Light Hovers Over Downtown Cincinnati Thursday October 10.,10/15/2002,39.1619444,-84.4569444,1800
Portland,OR,Circle,120,The Light Is The Truth,12/16/2005,45.5236111,-122.675,120
Alhambra,CA,Oval,300,3 Black Ovals In The Sky And A Floating Movie Camera,1/17/2004,34.0952778,-118.1261111,300
Indianapolis,IN,Sphere,1800,Sphere Shape Object With Flashing Bright White Lights,10/15/2003,39.7683333,-86.1580556,1800
Centreville,VA,Other,600,Aliens Check Out Local High School Football Game.,10/15/2003,38.8402778,-77.4291667,600
Grand View,ID,Light,15,Bright Light Above Mt. Home Afb,10/15/2003,42.9897222,-116.0925,15
Temperance,MI,Oval,18000,Pulsating Green White And Red Object In The Northwest Sky At 45Degrees,10/31/2003,41.7791667,-83.5688889,18000
Crescent Beach,SC,Formation,37800,For Two Consecutive Nights We Watched A Pattern Of Lights Before We Were Stunned By A Discovery On The Beach.,1/17/2004,33.8075,-78.7011111,37800
Albuquerque,NM,Light,180,Three Bright Lights That Were Huddled Together Than Began To Seperate And Disappeared.,2/1/2007,35.0844444,-106.6505556,180
Gleason,WI,Sphere,1800,Ufo Contact Amazing Close Sighting,9/2/2005,45.3088889,-89.4963889,1800
